node_id,indegree,outdegree,indeg_centr,outdeg_centr,indeg_centr_norm,outdeg_centr_norm
62013CJ0282,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62007CO0109,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62009CJ0517,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62011CJ0175,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62011CJ0394,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62013CO0049,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62010CJ0360,2,2,0.0012399256044637321,0.0012399256044637321,0.0007513148009015778,0.0007513148009015776
61989CJ0106,5,0,0.00309981401115933,0.0,0.0018782870022539444,0.0
61993CJ0430,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61999CJ0414,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0206,4,0,0.0024798512089274642,0.0,0.0015026296018031556,0.0
62002CJ0245,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62003CJ0016,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0298,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0378,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62007CJ0487,16,15,0.009919404835709857,0.009299442033477991,0.006010518407212622,0.005634861006761832
62007CJ0495,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0059,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62008CJ0145,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0236,3,2,0.0018598884066955983,0.0012399256044637321,0.0011269722013523668,0.0007513148009015776
62008CJ0278,2,1,0.0012399256044637321,0.0006199628022318661,0.0007513148009015778,0.0003756574004507888
62008CJ0324,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0558,2,2,0.0012399256044637321,0.0012399256044637321,0.0007513148009015778,0.0007513148009015776
62008CJ0585,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62008CO0062,2,1,0.0012399256044637321,0.0006199628022318661,0.0007513148009015778,0.0003756574004507888
62009CJ0127,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0109,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0424,5,5,0.00309981401115933,0.00309981401115933,0.0018782870022539444,0.001878287002253944
62009CJ0092,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62010CJ0134,0,7,0.0,0.0043397396156230625,0.0,0.0026296018031555218
61996CJ0392,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62004CJ0221,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62005CJ0148,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62006CJ0066,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62006CJ0250,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62007CJ0336,2,6,0.0012399256044637321,0.0037197768133911966,0.0007513148009015778,0.0022539444027047328
62007CJ0475,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62010CJ0016,3,1,0.0018598884066955983,0.0006199628022318661,0.0011269722013523668,0.0003756574004507888
62003CJ0475,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62005CJ0216,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62006CJ0251,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62006CJ0268,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62007CJ0220,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62009CJ0154,3,9,0.0018598884066955983,0.005579665220086794,0.0011269722013523668,0.003380916604057099
